,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,low_temp,high_temp,rain
0,Tokyo,Tokyo,35.6897,139.6922,Japan,JP,JPN,Tōkyō,0,37732000.0,1392685764,,,
1,Jakarta,Jakarta,-6.175,106.8275,Indonesia,ID,IDN,Jakarta,0,33756000.0,1360771077,,,
2,Delhi,Delhi,28.61,77.23,India,IN,IND,Delhi,1,32226000.0,1356872604,,,
3,Guangzhou,Guangzhou,23.13,113.26,China,CN,CHN,Guangdong,1,26940000.0,1156237133,,,
4,Mumbai,Mumbai,19.0761,72.8775,India,IN,IND,Mahārāshtra,1,24973000.0,1356226629,,,
5,Manila,Manila,14.5958,120.9772,Philippines,PH,PHL,Manila,0,24922000.0,1608618140,,,
6,Shanghai,Shanghai,31.1667,121.4667,China,CN,CHN,Shanghai,1,24073000.0,1156073548,,,
7,São Paulo,Sao Paulo,-23.55,-46.6333,Brazil,BR,BRA,São Paulo,1,23086000.0,1076532519,,,
8,Seoul,Seoul,37.56,126.99,South Korea,KR,KOR,Seoul,0,23016000.0,1410836482,,,
9,Mexico City,Mexico City,19.4333,-99.1333,Mexico,MX,MEX,Ciudad de México,0,21804000.0,1484247881,,,
10,Cairo,Cairo,30.0444,31.2358,Egypt,EG,EGY,Al Qāhirah,0,20296000.0,1818253931,,,
11,New York,New York,40.6943,-73.9249,United States,US,USA,New York,2,18972871.0,1840034016,,,
12,Dhaka,Dhaka,23.7639,90.3889,Bangladesh,BD,BGD,Dhaka,0,18627000.0,1050529279,,,
13,Beijing,Beijing,39.904,116.4075,China,CN,CHN,Beijing,0,18522000.0,1156228865,,,
14,Kolkāta,Kolkata,22.5675,88.37,India,IN,IND,West Bengal,1,18502000.0,1356060520,,,
15,Bangkok,Bangkok,13.7525,100.4942,Thailand,TH,THA,Krung Thep Maha Nakhon,0,18007000.0,1764068610,,,
16,Shenzhen,Shenzhen,22.535,114.054,China,CN,CHN,Guangdong,3,17619000.0,1156158707,,,
17,Moscow,Moscow,55.7558,37.6178,Russia,RU,RUS,Moskva,0,17332000.0,1643318494,,,
